도서관명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,도서관전화번호,홈페이지주소,위도,경도
중앙도서관,공공도서관,"매월 둘째/넷째 월요일, 국가지정공휴일",9:00,20:00,9:00,18:00,9:00,18:00,200,211168,81,6905,10,14,충청남도 천안시 동남구 중앙로 118,041-521-3722,http://www.cheonan.go.kr/lib.do,36.80917325,127.1535923
쌍용도서관,공공도서관,"매월 첫째/셋째 월요일, 국가지정공휴일",9:00,20:00,9:00,18:00,9:00,18:00,404,176110,97,4465,10,14,충청남도 천안시 서북구 월봉4로 153,041-521-3731,http://www.cheonan.go.kr/lib.do,36.80040792,127.1146491
성거도서관,공공도서관,"매월 둘째/넷째 월요일, 국가지정공휴일",9:00,20:00,9:00,18:00,9:00,18:00,160,87104,41,836,10,14,충청남도 천안시 서북구 성거읍 천흥3길 3,041-521-3734,http://www.cheonan.go.kr/lib.do,36.87162843,127.2010113
아우내도서관,공공도서관,"매월 첫째/셋째 월요일, 국가지정공휴일",9:00,20:00,9:00,18:00,9:00,18:00,37,66942,42,1474,10,14,충청남도 천안시 동남구 병천면 병천2로 57,041-521-3723,http://www.cheonan.go.kr/lib.do,36.76719291,127.3025835
도솔도서관,공공도서관,"매월 둘째/넷째 월요일, 국가지정공휴일",9:00,20:00,9:00,18:00,9:00,18:00,180,95050,72,1751,10,14,충청남도 천안시 서북구 번영로 156,041-521-3735,http://www.cheonan.go.kr/lib.do,36.81612841,127.1130483
두정도서관,공공도서관,"매월 첫째/셋째 월요일, 국가지정공휴일",9:00,20:00,9:00,18:00,9:00,18:00,362,164380,105,2026,10,14,충청남도 천안시 서북구 부성3길 9,041-521-3733,http://www.cheonan.go.kr/lib.do,36.83459674,127.1346155
신방도서관,공공도서관,"매월 둘째/넷째 월요일, 국가지정공휴일",9:00,20:00,9:00,18:00,9:00,18:00,270,116314,79,1678,10,14,충청남도 천안시 동남구 통정4로 7,041-521-3724,http://www.cheonan.go.kr/lib.do,36.77441534,127.1307313
청수도서관,공공도서관,"매월 첫째/셋째 월요일, 국가지정공휴일",9:00,20:00,9:00,18:00,9:00,18:00,780,74062,70,878,10,14,충청남도 천안시 동남구 청수 16로 5-10,041-521-3725,http://www.cheonan.go.kr/lib.do,36.78946052,127.1563583
원성2동작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,12,9172,6,122,10,14,충청남도 천안시 동남구 원거리8길 43,041-521-3229,http://www.cheonan.go.kr/lib.do,36.8001171,127.1581461
중앙동작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,40,8935,6,0,10,14,충청남도 천안시 동남구 영성로 69-1,041-566-2639,http://www.cheonan.go.kr/lib.do,36.80454656,127.1496381
일봉동작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,6,10436,7,37,10,14,충청남도 천안시 동남구 차돌고개4길 18,041-573-3353,http://www.cheonan.go.kr/lib.do,36.79912457,127.1353251
성남면작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,8,6962,5,0,10,14,충청남도 천안시 동남구 성남면 신사대화로 149,041-622-6665,http://www.cheonan.go.kr/lib.do,36.74222767,127.2369957
풍세면작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,12,6759,5,0,10,14,충청남도 천안시 동남구 풍세면 상정1길 3,041-554-5201,http://www.cheonan.go.kr/lib.do,36.72182275,127.1187666
문성동작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,12,9261,5,607,10,14,충청남도 천안시 동남구 복자1길 24,041-522-9065,http://www.cheonan.go.kr/lib.do,36.81422134,127.1521491
입장면작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,12,9200,5,0,10,14,충청남도 천안시 서북구 입장면 하장4길 37,041-583-5001,http://www.cheonan.go.kr/lib.do,36.9133491,127.2182211
성환읍다문화작은도서관,작은도서관,"매주 토/일요일, 국가지정공휴일",10:00,18:00,0:00,0:00,0:00,0:00,24,14175,5,1246,10,14,충청남도 천안시 서북구 성환읍 성환13길 7,041-587-5002,http://www.cheonan.go.kr/lib.do,36.9181614,127.1343912
직산읍작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,20,16312,7,954,10,14,충청남도 천안시 서북구 직산읍 삼은4길 2,041-583-0337,http://www.cheonan.go.kr/lib.do,36.8790065,127.1504675
광덕작은도서관,작은도서관,"매주 토/일요일, 국가지정공휴일",8:00,16:00,0:00,0:00,0:00,0:00,24,5650,3,0,10,14,충청남도 천안시 동남구 광덕면 신흥리3길 76,041-522-0333,http://www.cheonan.go.kr/lib.do,36.69497347,127.1105835
신안동작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,18,7486,7,0,10,14,충청남도 천안시 동남구 신부3길 16-6,041-564-3020,http://www.cheonan.go.kr/lib.do,36.81745837,127.1601766
천안축구센터작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,18,8859,6,0,10,14,충청남도 천안시 서북구 축구센터로 150,041-577-8270,http://www.cheonan.go.kr/lib.do,36.82143819,127.1457665
성정1동작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,18,11907,8,908,10,14,충청남도 천안시 서북구 선영8길 7,041-579-5783,http://www.cheonan.go.kr/lib.do,36.81503662,127.1428673
목천느티나무작은도서관,작은도서관,"매주 토/일요일, 국가지정공휴일",8:30,16:30,0:00,0:00,0:00,0:00,40,5529,3,0,10,14,충청남도 천안시 동남구 목천읍 서리2길 31,041-522-8018,http://www.cheonan.go.kr/lib.do,36.78791317,127.2357247
북면바로내작은도서관,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,26,5585,5,0,10,14,충청남도 천안시 동남구 북면 위례성로 661-16,041-557-2332,http://www.cheonan.go.kr/lib.do,36.8227841,127.2722181
